client_id,client_name,entity_type,industry_sector,region,credit_rating,rating_ordinal,debt_to_equity,interest_coverage,ebitda_margin,annual_sales_m,yield_spread_bps,debt_to_gdp,coupon_rate,yield_to_maturity,remaining_maturity,ead_m,seniority,collateral_type,historic_default,recovery_rate
CORP_001,Delta Utilities,Corporate,Telecom,Germany,BB,5,1.93,5.41,0.1124,23.7,,,0.0606,0.0647,6.9,37.31,Subordinated,Unsecured,0,0.142
CORP_002,Aero Ventures,Corporate,Energy,South Africa,AAA,1,0.3,11.36,0.3575,53.35,,,0.0211,0.0246,4.4,34.32,Subordinated,Unsecured,0,0.1678
CORP_003,Vanguard Group,Corporate,Energy,Brazil,B,6,2.29,2.48,0.1123,19.95,,,0.0957,0.1014,2.6,13.47,Senior Unsecured,Unsecured,0,0.3673
CORP_004,Nordic Holdings,Corporate,Telecom,UK,BB,5,3.13,2.46,0.1107,44.4,,,0.0576,0.0612,8.5,11.92,Senior Unsecured,Unsecured,0,0.3296
CORP_005,Aero Telecom,Corporate,Technology,US,A,3,1.16,8.4,0.2129,44.04,,,0.0367,0.0436,4.0,30.36,Senior Secured,Financial Collateral,0,0.8336
CORP_006,Apex Industries,Corporate,Utilities,India,CCC/C,7,5.0,0.6,-0.1,25.8,,,0.1192,0.1223,2.8,33.36,Senior Unsecured,Unsecured,1,0.4769
CORP_007,Delta Services,Corporate,Utilities,India,A,3,0.85,6.36,0.3201,191.05,,,0.0363,0.0419,2.7,37.83,Senior Unsecured,Financial Collateral,0,0.8887
CORP_008,Aero Industries,Corporate,Technology,Germany,BBB,4,1.72,4.89,0.2004,47.45,,,0.0409,0.0451,2.1,50.28,Senior Secured,Financial Collateral,0,0.8434
CORP_009,Beacon Enterprises,Corporate,Technology,UK,B,6,3.78,-1.71,-0.0358,22.24,,,0.0905,0.0946,5.5,30.01,Senior Secured,Financial Collateral,1,0.8621
CORP_010,Nordic Group,Corporate,Utilities,Germany,A,3,0.87,9.1,0.2764,74.54,,,0.0376,0.0436,2.4,164.42,Subordinated,Unsecured,0,0.154
CORP_011,Nordic Energy,Corporate,Energy,Germany,BB,5,2.17,1.8,0.1085,111.2,,,0.0712,0.0764,7.1,17.91,Senior Unsecured,Unsecured,0,0.4542
CORP_012,Nova Pharmaceuticals,Corporate,Technology,Brazil,BBB,4,1.48,4.19,0.0848,197.37,,,0.0545,0.0578,9.1,42.77,Senior Unsecured,Unsecured,0,0.4277
CORP_013,Summit Resources,Corporate,Finance,South Africa,AAA,1,0.32,10.93,0.5,96.37,,,0.014,0.0204,7.4,19.19,Senior Unsecured,Unsecured,0,0.3096
CORP_014,Beacon Industries,Corporate,Finance,Germany,A,3,0.72,5.78,0.2738,84.39,,,0.0364,0.043,8.2,311.96,Senior Unsecured,Unsecured,0,0.4075
CORP_015,Helix Utilities,Corporate,Utilities,US,AAA,1,0.3,12.29,0.4486,42.33,,,0.023,0.0241,6.2,16.37,Senior Secured,Financial Collateral,0,0.8261
CORP_016,Alpha Holdings,Corporate,Energy,Germany,BBB,4,1.7,3.29,0.2846,63.16,,,0.0524,0.0595,7.3,11.63,Senior Unsecured,Unsecured,0,0.325
CORP_017,United Ventures,Corporate,Energy,US,BBB,4,1.39,4.31,0.0752,443.5,,,0.042,0.0494,2.4,25.16,Senior Secured,Real Estate,0,0.7857
CORP_018,Pacific Industries,Corporate,Telecom,Brazil,A,3,0.75,7.32,0.2836,31.27,,,0.0457,0.052,7.5,35.43,Senior Secured,Financial Collateral,0,0.8677
CORP_019,Pacific Pharmaceuticals,Corporate,Telecom,South Africa,BB,5,2.14,4.69,0.0933,43.66,,,0.0666,0.0684,7.4,12.76,Subordinated,Unsecured,0,0.1959
CORP_020,Pacific Holdings,Corporate,Telecom,Germany,A,3,1.24,5.94,0.3155,130.19,,,0.0304,0.0352,5.4,12.42,Senior Unsecured,Unsecured,0,0.3916
CORP_021,Pacific Utilities,Corporate,Energy,Brazil,A,3,0.91,10.52,0.3124,149.02,,,0.034,0.0391,6.3,38.33,Senior Secured,Financial Collateral,0,0.8765
CORP_022,Helix Infrastructure,Corporate,Telecom,Brazil,A,3,0.97,6.07,0.2634,36.65,,,0.0321,0.0388,2.1,74.96,Subordinated,Unsecured,0,0.2226
CORP_023,Nordic Pharmaceuticals,Corporate,Telecom,US,BBB,4,2.39,5.29,0.1706,34.7,,,0.0532,0.0587,6.1,64.52,Senior Unsecured,Unsecured,0,0.3111
CORP_024,Beacon Enterprises,Corporate,Finance,US,A,3,0.85,8.28,0.2583,32.5,,,0.0446,0.0517,5.0,15.65,Senior Unsecured,Unsecured,0,0.3029
CORP_025,Delta Services,Corporate,Telecom,UK,CCC/C,7,5.0,2.01,0.0211,98.53,,,0.1203,0.1254,4.8,23.36,Subordinated,Unsecured,1,0.0822
CORP_026,Pacific Holdings,Corporate,Utilities,India,A,3,0.75,6.68,0.3049,262.36,,,0.0393,0.044,2.0,27.48,Senior Unsecured,Unsecured,0,0.3996
CORP_027,Vanguard Group,Corporate,Technology,Germany,BBB,4,1.56,5.1,0.2552,40.17,,,0.0491,0.0541,1.7,51.12,Senior Unsecured,Unsecured,0,0.4043
CORP_028,Aero Logistics,Corporate,Utilities,US,B,6,3.05,0.45,-0.029,36.71,,,0.084,0.0921,3.1,18.48,Senior Secured,Financial Collateral,0,0.7965
